POINT,EASTING,NORTHING
ICR-01,507030.994,1937747.72
ICR-02,507039.044,1937747.72
ICR-03,507039.044,1937749.115
ICR-04,507042.469,1937749.115
ICR-05,507042.469,1937747.72
ICR-06,507046.184,1937747.72
ICR-07,507046.184,1937744.665
ICR-08,507030.994,1937744.665
